title,year,url,popularity,verse
All Around The World,2006,http://www.metrolyrics.com/all-around-the-world-lyrics-oasis.html,5,"It's a bit early in the midnight hour for me
To go through all the things that I want to be
I don't believe in everything I see
You know I'm blind so why do you disagree?
Take me away cos I just don't want to stay
And the lies you make me say
Are getting deeper every day
These are crazy days but they make me shine
Time keeps rolling by
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
Whatcha gonna do when the walls come falling down?
You never move you never make a sound
Where you gonna swim with the riches that you found?
You're lost at sea well I hope that you drown
Take me away cos I just don't want to stay
And the lies you make me say
Are getting deeper every day
These are crazy days but they make me shine
Time keeps rolling by
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
And All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
Na na na na, na na na na, na na na na, na na na
Na na na na, na na na na, na na na na, na na na
na
na
na na na na na na na na
na na na na na na na na
na na na na na na na na
na na na na na na na na na na na na na
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
And All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
Cos All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
And All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
It's gonna be okay
it's gonna be okay
it's gonna be okay
it's gonna be okay
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
Cos All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
And All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
All Around The World, you've gotta spread the word
Tell 'em what you've heard
You're gonna make a better day
And All Around The World, you've gotta spread the word
Tell 'em what you've heard
You know it's gonna be okay
na na na na na na na na na na na na na
na na na na na na na na na na na na na
And I know what I know, what I know what I know
Yeah I know what I know it's gonna be okay And I know what I know, what I know what I know
Yeah I know what I know
Please don't cry, never say die
So please don't cry, never say die
Please don't cry, never say die
Na na na na na na na na na na na na na na So Please don't cry, never say die
Na na na na na na na na na na na na na na
So Please don't cry, never say die"
All Around the World (Reprise),2017,http://www.metrolyrics.com/all-around-the-world-reprise-lyrics-oasis.html,0,
All in The Mind,2006,http://www.metrolyrics.com/all-in-the-mind-lyrics-oasis.html,0,"That'll do me"" (Andy's voice)
Show me who you are
I'll show you what you love
I'll give you half the world if that's enough
Let me take you down
Let me hear you smile
Let me rest my head here for a while
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in my mind
Show me who you are
I'll show you what you love
I'll give you all the world if that's enough
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in my mind
In the end we'll leave it all behind
In the end we'll leave it all behind
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in the mind
It's all in the mind
It's all in the mind
All in the mind"
All You Need is Love,2006,http://www.metrolyrics.com/all-you-need-is-love-lyrics-oasis.html,0,"Love, love, love
Love, love, love
Love, love, love
There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say but you can learn how the play the game
It's easy
There's nothing you can make that can't me made
No one you can save that can't be saved
Nothing you can do but you can learn how to be you in time
It's easy
All you need is love
All you need is love
All you need is love, love
Love is all you need
Love, love, love
Love, love, love
Love, love, love
All you need is love
All you need is love
All you need is love, love
Love is all you need
There's nothing you can know that isn't known
Nothing you can see that isn't shown
No where you can be that isn't where you're meant to be
It's easy
All you need is love
All you need is love
All you need is love, love
Love is all you need
All you need is love
All you need is love
All you need is love, love
Love is all you need
Love is all you need
That is all you need
That is all you need
That is all you need
That is all you need
She loves you
Yeah yeah yeah
She loves you
Yeah yeah yeah
She loves you
Yeah yeah yeah"
Angel Child,2006,http://www.metrolyrics.com/angel-child-lyrics-oasis.html,1,"(Okey, Dokey)
Won't you take me,
Won't take me to the edge of night and make me,
Won't you make me walk into the night and there'll be no eyes,
No eyes that that seen such beauty, would lose their sight
And there'll be no lies
No lies that you can tell me to make things right,
'Cause I gave all my money to people and things
And the price I'm still paying
For the shit that it brings,
Doesn't fill me with hope for
The songs that you sing tonight, this is your life.
Angel Child
When you find out,
When find out who you are, you'll know, you'll Be free
To see your own ability, and there'll be no eyes
No eyes that that seen such beauty, would loose their sight
and there'll be no lies
No lies that you can tell me to make things right,
Cause I gave all my money to people and things
And the price I'm still paying
For the shit that it brings
Doesnt fill me with hope for
The songs that you sing tonight, this is your life,
Angel Child
Tonight, this is your life
This is your life, Angel child of mine.
Tonight, this is your life,
This is your life, Angel child
Tonight, this is your life,
This is your life, Angel child of mine
Tonight, this is your life,
This is your life, Angel child
Tonight, this is your life,
This is your life, Angel child"
Bag It Up,2008,http://www.metrolyrics.com/bag-it-up-lyrics-oasis.html,1,"Gold and silver and sunshine is rising up
Pour yourself another cup of Lady Grey
Take my hand in the meantime, when you've had enough
You'll find me on the end of a runway, babe
Tell the world that you love them in a melody
Send my old piano and a telegram
Gotta get me a doctor with a remedy
I'm gonna take a walk with the Monkey Man!
Someone tell me I'm dreaming
The freaks are rising up through the floor
Everything I believe in
Is telling me that I want more, more, more
Lay your love on the fire when you come on in
I got my hee-bee-jee-bies hidden in a bag
Tell me what you desire and we'll bag it up, high
Someone tell me I'm dreaming
The freaks are rising up through the floor
Everything I believe in
Is telling me that I want more, more, more
Lay your love on the fire when you come on in
I got my hee-bee-jee-bies hidden in a bag
Tell me what you desire and we'll bag it up, high
Shine a light on your fire when you come on in
I got my hee-bee-jee-bies hidden in a bag
Tell me what you desire and we'll bag it up, high"
Be Here Now,2006,http://www.metrolyrics.com/be-here-now-lyrics-oasis.html,2,"Wash your face in the morning sun,
Flash your pen at the song that I'm singing,
Touchdown base living on the run,
I make no sweat at the hole that you're digging.
Wrap up cold when it's warm outside,
Your shit jokes remind me of Digsy's,
Be my magic carpet ride,
Fly me down to capital city in the sun.
Kicking up a storm,
From the day that I was born,
Sing a song to me,
One from Let It Be,
Open up your eyes get a grip on yourself inside!
So wash your face in the morning sun,
Flash your pen at the song that I'm singing,
Touchdown base living on the run,
Make no sweat of the hole that you're digging.
Kicking up a storm,
From the day that I was born,
Sing a song to me,
One from Let It Be,
Open up your eyes get a grip on yourself inside!
Inside, Inside, Inside.
So wrap up cold when it's warm outside,
Please sit down you make me feel giddy,
Be my magic carpet ride,
Fly me down to capital city.
I've been kicking up a storm,
From the day that I was born,
Sing a song for me,
One from Let It Be,
Open up your eyes get a grip on yourself inside!
(get a grip inside)
(get a grip inside)
(get a grip insode)
(get a grip inside)
C'mon, c'mon, c'mon, c'mon,
C'mon, c, mon, c'mon, c'mon,
Yeah, yeah, yeah.
C'mon, c'mon, c'mon, c'mon,
C'mon, c, mon, c'mon, c'mon,
Yeah, yeah, yeah."
Better Let You Know,2006,http://www.metrolyrics.com/better-let-you-know-lyrics-oasis.html,0,"I better let you know, It's time for you to go
You're gonna break my heart
I better let you know, It's time for you to go
You're gonna break my heart
I better let you know, It's time for you to go
You're gonna break my heart
I better let you know, It's time for you to go
You're gonna break my heart
I better let you know, It's time for you to go
You're gonna break my heart
I better let you know, It's time for you to go
You're gonna break my heart"
Better Man,2006,http://www.metrolyrics.com/better-man-lyrics-oasis.html,0,"I wanna love you
I wanna be a better man
I dont wanna hurt you
I just wanna see what's in your hands
well alright now
yeah yeah yeah
well alright now
yeah yeah yeah
and i know you'll understand
that i know you'll understand
I wanna love you
I wanna be a better man
I dont wanna hurt you
I just wanna see what's in your hands
well alright now
yeah yeah yeah
well alright now
yeah yeah yeah
that ill know you'll understand
and I know you'll understand
Im gonna be a better man
Im gonna be a better man
Im gonna be a better man
Im gonna be a better man
Im gonna be a better man
Im gonna be a better manahan
Im gonna be a better man
Im gonna be a better man"
Bonehead's Bank Holiday,2014,http://www.metrolyrics.com/boneheads-bank-holiday-lyrics-oasis.html,2,"You know I need a little break
To get away for a holiday
So I can see the sun
Cos in the sun they say it's fun
If you can get some
Well I could take a train or a boat or an aeroplane
Or I could steal a car
Cos in a car you can go far
Just depends on what kind of car you are
La, la, la, la, la, la, la, la, la, la, la
What kind of car you are
La, la, la, la, la, la, la, la, la, la, la
I met a funny looking girl
On a crowded beach in Spain
Her name was Avaline
She said she came to Spain to have a good time
But she was with her mum
Who had a face like a nun in pain
She said her name was Dot
She didn't half talk a lot
I couldn't tell if she was mad or not
La, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la, la
Don't you know - I should have stayed in England
On my polluted beach - with all my special friends
Don't you know - I should have stayed in England
With my big house and my big car
And all my friend are there at the bar
La, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la, la
You know I need a little break
To get away for a holiday
So I can see the sun
Cos in the sun they say it's fun
If you can get some
Well I could take a train or a boat or an aeroplane
Or I could steal a car
Cos in a car you can go far
It just depends on what kind of car you are
La, la, la, la, la, la, la, la, la, la, la
What kind of car you are
La, la, la, la, la, la, la, la, la, la, la"
